Language_ID,Name,Glottocode,Latitude,Longitude,elevation_m
even1260,Even,even1260,70.6687,130.914,141.0
nort2745,Northern Yukaghir,nort2745,65.3874,151.318,50.0
gily1242,Nivkh,gily1242,52.59,140.681,363.0
chuk1273,Chukchi,chuk1273,68.6436,170.045,19.0
ainu1240,Hokkaido Ainu,ainu1240,43.633654,142.46167,222.0
nucl1643,Japanese,nucl1643,35.0,135.0,126.0
afad1236,Afade,afad1236,12.0551,14.6343,291.0
achu1247,Achumawi,achu1247,41.0979,-121.191,1255.0
east2379,Eastern Arrernte,east2379,-23.3583,135.046,713.0
amel1241,Amele,amel1241,-5.29126,145.687,166.0
anga1290,Angaataha,anga1290,-7.15012,146.352,1686.0
aghe1239,Aghem,aghe1239,6.38956,10.0807,1046.0
apro1235,Aproumu Aizi,apro1235,5.20273,-4.52192,8.0
ahte1237,Ahtena,ahte1237,61.7068,-144.889,397.0
akaw1239,Akawaio,akaw1239,6.16277,-60.862,968.0
qawa1238,Qawasqar,qawa1238,-49.703,-75.3756,262.0
alla1248,Alladian,alla1248,5.22371,-4.42647,12.0
hame1242,Hamer-Banna,hame1242,5.06515,36.5176,1008.0
amoo1242,Amo,amoo1242,10.3229,8.65405,782.0
alam1246,Alamblak,alam1246,-4.66307,143.316,78.0
guer1243,Guerrero Amuzgo,guer1243,16.77226,-98.18953,385.0
ando1256,Andoque,ando1256,-0.53751,-72.0869,178.0
apuc1241,A-Pucikwar,apuc1241,12.241,92.7965,40.0
arch1244,Archi,arch1244,42.3239,46.8267,1849.0
arab1268,Arabela,arab1268,-1.96126,-75.0612,174.0
waor1240,Waorani,waor1240,-1.12312,-76.683,249.0
avar1256,Avar,avar1256,41.7047,46.558,641.0
abip1241,Abipon,abip1241,-29.0,-61.0,55.0
bash1264,Bashkir,bash1264,53.5967,56.5594,238.0
bamb1269,Bambara,bamb1269,12.0401,-9.98949,383.0
baat1238,Baatonum,baat1238,9.63186,2.99607,374.0
bats1242,Bats,bats1242,42.1806,45.344,1016.0
nort2819,Northern Bobo Madaré,nort2819,12.4182,-4.47538,462.0
cent2004,Central Bai,cent2004,26.1666,99.7052,3025.0
bard1255,Bardi,bard1255,-16.6274,122.906,45.0
kohu1244,Kohumono,kohu1244,5.92596,7.96202,21.0
indo1317,Indonesian Bajau,indo1317,-3.68664,122.253,43.0
twee1234,Tweed-Albert,twee1234,-28.028726,153.286993,59.0
beja1238,Beja,beja1238,17.2436,36.6666,341.0
dalo1238,Daloa Bété,dalo1238,6.69281,-6.63944,238.0
biss1248,Bissa,biss1248,10.4257,-1.67332,260.0
baka1277,Bakairí,baka1277,-14.2628,-54.7034,424.0
bell1243,Bella Coola,bell1243,52.3448,-126.689,766.0
muin1242,Muinane,muin1242,-0.8652,-72.4249,178.0
bero1242,Berom,bero1242,9.67037,8.81221,1219.0
boro1282,Bororo,boro1282,-16.6029,-55.2004,174.0
lave1249,Brao,lave1249,14.5994,107.008,589.0
brah1256,Brahui,brah1256,28.5347,64.2991,1311.0
west2397,Western Bru,west2397,16.4906,104.754,160.0
bodo1269,Bodo-Mech,bodo1269,26.725455,89.333235,115.0
bura1267,Burarra,bura1267,-12.3061,134.365,35.0
qaqe1238,Qaqet,qaqe1238,-4.45258,151.702,959.0
brib1243,Bribri,brib1243,9.39794,-83.0539,778.0
cadd1256,Caddo,cadd1256,35.1826,-98.2634,371.0
niva1238,Nivaclé,niva1238,-22.8557,-61.7606,204.0
carn1240,Car Nicobarese,carn1240,9.18853,92.7671,30.0
nyah1250,Nyahkur,nyah1250,15.8909,101.515,568.0
cacu1241,Kakua,cacu1241,0.88778,-69.5659,160.0
mind1253,Min Dong Chinese,mind1253,26.0,119.5,3.0
quio1240,Quiotepec Chinantec,quio1240,17.5621,-96.602,1450.0
cher1273,Cherokee,cher1273,35.4664,-83.163,1209.0
uppe1439,Upper Chehalis,uppe1439,46.7981,-123.169,48.0
chua1250,Chuave,chua1250,-6.17824,145.139,2038.0
haka1240,Haka Chin,haka1240,22.8735,92.8208,868.0
cofa1242,Cofán,cofa1242,0.276675,-77.0643,343.0
wame1240,Wamey,wame1240,12.5421,-13.177,78.0
chua1256,Chuanqiandian Cluster Miao,chua1256,22.5638,101.95,1109.0
